id,total_len,nb_groups,len_groups,max_len_group
10053_MyriadPro-Regular_fs_50_I_Layer 2,5,1,[5],5
10052_MyriadPro-Regular_fs_50_H_Layer 2,13,1,[13],13
10054_MyriadPro-Regular_fs_50_J_Layer 2,8,1,[8],8
10055_MyriadPro-Regular_fs_50_K_Layer 2,13,1,[13],13
10056_MyriadPro-Regular_fs_50_L_Layer 2,7,1,[7],7
10057_MyriadPro-Regular_fs_50_M_Layer 2,16,1,[16],16
10058_MyriadPro-Regular_fs_50_N_Layer 2,13,1,[13],13
1005_AJensonPro-BoldItCapt_fs_50_M_Layer 2,29,1,[29],29
1005_Arial Narrow Bold_fs_50_M_Layer 2,17,1,[17],17
10059_MyriadPro-Regular_fs_50_O_Layer 2,11,2,"[5, 6]",6
10060_MyriadPro-Regular_fs_50_P_Layer 2,13,2,"[8, 5]",8
10061_MyriadPro-Regular_fs_50_Q_Layer 2,15,2,"[9, 6]",9
10062_MyriadPro-Regular_fs_50_R_Layer 2,16,2,"[11, 5]",11
10063_MyriadPro-Regular_fs_50_S_Layer 2,17,1,[17],17
10064_MyriadPro-Regular_fs_50_T_Layer 2,9,1,[9],9
10065_MyriadPro-Regular_fs_50_U_Layer 2,14,1,[14],14
10067_MyriadPro-Regular_fs_50_W_Layer 2,15,1,[15],15
10066_MyriadPro-Regular_fs_50_V_Layer 2,8,1,[8],8
10068_MyriadPro-Regular_fs_50_X_Layer 2,14,1,[14],14
10069_MyriadPro-Regular_fs_50_Y_Layer 2,12,1,[12],12
10070_MyriadPro-Regular_fs_50_Z_Layer 2,11,1,[11],11
1006_AJensonPro-BoldItCapt_fs_50_N_Layer 2,20,1,[20],20
1006_Arial Narrow Bold_fs_50_N_Layer 2,13,1,[13],13
10073_MyriadPro-Regular_fs_50_c_Layer 2,10,1,[10],10
10071_MyriadPro-Regular_fs_50_a_Layer 2,15,2,"[10, 5]",10
10072_MyriadPro-Regular_fs_50_b_Layer 2,14,2,"[9, 5]",9
10074_MyriadPro-Regular_fs_50_d_Layer 2,14,2,"[9, 5]",9
10075_MyriadPro-Regular_fs_50_e_Layer 2,13,2,"[9, 4]",9
10076_MyriadPro-Regular_fs_50_f_Layer 2,12,1,[12],12
10077_MyriadPro-Regular_fs_50_g_Layer 2,18,2,"[10, 8]",10
10078_MyriadPro-Regular_fs_50_h_Layer 2,14,1,[14],14
10079_MyriadPro-Regular_fs_50_i_Layer 2,10,2,"[5, 5]",5
1007_AJensonPro-BoldItCapt_fs_50_O_Layer 2,14,2,"[5, 9]",9
1007_Arial Narrow Bold_fs_50_O_Layer 2,13,2,"[6, 7]",7
10081_MyriadPro-Regular_fs_50_k_Layer 2,11,1,[11],11
10082_MyriadPro-Regular_fs_50_l_Layer 2,5,1,[5],5
10080_MyriadPro-Regular_fs_50_j_Layer 2,14,2,"[5, 9]",9
10083_MyriadPro-Regular_fs_50_m_Layer 2,25,1,[25],25
10084_MyriadPro-Regular_fs_50_n_Layer 2,14,1,[14],14
10087_MyriadPro-Regular_fs_50_q_Layer 2,14,2,"[9, 5]",9
10086_MyriadPro-Regular_fs_50_p_Layer 2,14,2,"[9, 5]",9
10085_MyriadPro-Regular_fs_50_o_Layer 2,10,2,"[5, 5]",5
10088_MyriadPro-Regular_fs_50_r_Layer 2,8,1,[8],8
1008_AJensonPro-BoldItCapt_fs_50_P_Layer 2,15,1,[15],15
10089_MyriadPro-Regular_fs_50_s_Layer 2,19,1,[19],19
1008_Arial Narrow Bold_fs_50_P_Layer 2,13,2,"[8, 5]",8
10090_MyriadPro-Regular_fs_50_t_Layer 2,13,1,[13],13
10091_MyriadPro-Regular_fs_50_u_Layer 2,14,1,[14],14
10092_MyriadPro-Regular_fs_50_v_Layer 2,8,1,[8],8
10093_MyriadPro-Regular_fs_50_w_Layer 2,14,1,[14],14
10094_MyriadPro-Regular_fs_50_x_Layer 2,12,1,[12],12
10095_MyriadPro-Regular_fs_50_y_Layer 2,11,1,[11],11
10096_MyriadPro-Regular_fs_50_z_Layer 2,10,1,[10],10
10098_MyriadPro-Regular_fs_50_1_Layer 2,7,1,[7],7
10099_MyriadPro-Regular_fs_50_2_Layer 2,16,1,[16],16
10097_MyriadPro-Regular_fs_50_0_Layer 2,18,2,"[10, 8]",10
100_AntiqueOli-Lig_fs_50_l_Layer 2,7,1,[7],7
100_ACaslonPro-BoldItalic_fs_50_l_Layer 2,10,1,[10],10
1009_Arial Narrow Bold_fs_50_Q_Layer 2,18,2,"[10, 8]",10
1009_AJensonPro-BoldItCapt_fs_50_Q_Layer 2,24,2,"[16, 8]",16
10100_MyriadPro-Regular_fs_50_3_Layer 2,20,1,[20],20
10102_MyriadPro-Regular_fs_50_5_Layer 2,15,1,[15],15
10101_MyriadPro-Regular_fs_50_4_Layer 2,15,2,"[11, 4]",11
10103_MyriadPro-Regular_fs_50_6_Layer 2,15,2,"[10, 5]",10
10104_MyriadPro-Regular_fs_50_7_Layer 2,8,1,[8],8
10106_MyriadPro-Regular_fs_50_9_Layer 2,14,2,"[9, 5]",9
10105_MyriadPro-Regular_fs_50_8_Layer 2,17,3,"[7, 5, 5]",7
10107_MyriadPro-Semibold_fs_50_A_Layer 2,13,2,"[9, 4]",9
10108_MyriadPro-Semibold_fs_50_B_Layer 2,19,3,"[9, 5, 5]",9
10109_MyriadPro-Semibold_fs_50_C_Layer 2,9,1,[9],9
1010_AJensonPro-BoldItCapt_fs_50_R_Layer 2,21,2,"[16, 5]",16
1010_Arial Narrow Bold_fs_50_R_Layer 2,18,2,"[12, 6]",12
10111_MyriadPro-Semibold_fs_50_E_Layer 2,13,1,[13],13
10112_MyriadPro-Semibold_fs_50_F_Layer 2,11,1,[11],11
10110_MyriadPro-Semibold_fs_50_D_Layer 2,11,2,"[6, 5]",6
10114_MyriadPro-Semibold_fs_50_H_Layer 2,13,1,[13],13
10113_MyriadPro-Semibold_fs_50_G_Layer 2,14,1,[14],14
10115_MyriadPro-Semibold_fs_50_I_Layer 2,5,1,[5],5
10116_MyriadPro-Semibold_fs_50_J_Layer 2,10,1,[10],10
10117_MyriadPro-Semibold_fs_50_K_Layer 2,13,1,[13],13
10118_MyriadPro-Semibold_fs_50_L_Layer 2,7,1,[7],7
10119_MyriadPro-Semibold_fs_50_M_Layer 2,15,1,[15],15
1011_AJensonPro-BoldItCapt_fs_50_S_Layer 2,21,1,[21],21
10120_MyriadPro-Semibold_fs_50_N_Layer 2,11,1,[11],11
1011_Arial Narrow Bold_fs_50_S_Layer 2,19,1,[19],19
10122_MyriadPro-Semibold_fs_50_P_Layer 2,13,2,"[8, 5]",8
10121_MyriadPro-Semibold_fs_50_O_Layer 2,13,2,"[5, 8]",8
10123_MyriadPro-Semibold_fs_50_Q_Layer 2,17,2,"[9, 8]",9
10125_MyriadPro-Semibold_fs_50_S_Layer 2,16,1,[16],16
10124_MyriadPro-Semibold_fs_50_R_Layer 2,17,2,"[12, 5]",12
10126_MyriadPro-Semibold_fs_50_T_Layer 2,9,1,[9],9
10127_MyriadPro-Semibold_fs_50_U_Layer 2,13,1,[13],13
10129_MyriadPro-Semibold_fs_50_W_Layer 2,17,1,[17],17
10128_MyriadPro-Semibold_fs_50_V_Layer 2,9,1,[9],9
1012_AJensonPro-BoldItCapt_fs_50_T_Layer 2,13,1,[13],13
10131_MyriadPro-Semibold_fs_50_Y_Layer 2,12,1,[12],12
1012_Arial Narrow Bold_fs_50_T_Layer 2,9,1,[9],9
10130_MyriadPro-Semibold_fs_50_X_Layer 2,13,1,[13],13
10132_MyriadPro-Semibold_fs_50_Z_Layer 2,13,1,[13],13
10135_MyriadPro-Semibold_fs_50_c_Layer 2,8,1,[8],8
10133_MyriadPro-Semibold_fs_50_a_Layer 2,16,2,"[11, 5]",11
10136_MyriadPro-Semibold_fs_50_d_Layer 2,14,2,"[9, 5]",9
10134_MyriadPro-Semibold_fs_50_b_Layer 2,14,2,"[9, 5]",9
10137_MyriadPro-Semibold_fs_50_e_Layer 2,14,2,"[10, 4]",10
10138_MyriadPro-Semibold_fs_50_f_Layer 2,13,1,[13],13
1013_Arial Narrow Bold_fs_50_U_Layer 2,14,1,[14],14
1013_AJensonPro-BoldItCapt_fs_50_U_Layer 2,17,1,[17],17
10139_MyriadPro-Semibold_fs_50_g_Layer 2,17,2,"[12, 5]",12
10142_MyriadPro-Semibold_fs_50_j_Layer 2,13,2,"[5, 8]",8
10143_MyriadPro-Semibold_fs_50_k_Layer 2,13,1,[13],13
10140_MyriadPro-Semibold_fs_50_h_Layer 2,13,1,[13],13
10141_MyriadPro-Semibold_fs_50_i_Layer 2,10,2,"[5, 5]",5
10145_MyriadPro-Semibold_fs_50_m_Layer 2,22,1,[22],22
10144_MyriadPro-Semibold_fs_50_l_Layer 2,5,1,[5],5
10146_MyriadPro-Semibold_fs_50_n_Layer 2,15,1,[15],15
10147_MyriadPro-Semibold_fs_50_o_Layer 2,10,2,"[5, 5]",5
10149_MyriadPro-Semibold_fs_50_q_Layer 2,13,2,"[8, 5]",8
1014_AJensonPro-BoldItCapt_fs_50_V_Layer 2,14,1,[14],14
10148_MyriadPro-Semibold_fs_50_p_Layer 2,14,2,"[9, 5]",9
1014_Arial Narrow Bold_fs_50_V_Layer 2,9,1,[9],9
10150_MyriadPro-Semibold_fs_50_r_Layer 2,10,1,[10],10
10151_MyriadPro-Semibold_fs_50_s_Layer 2,16,1,[16],16
10152_MyriadPro-Semibold_fs_50_t_Layer 2,14,1,[14],14
10154_MyriadPro-Semibold_fs_50_v_Layer 2,8,1,[8],8
10153_MyriadPro-Semibold_fs_50_u_Layer 2,14,1,[14],14
10155_MyriadPro-Semibold_fs_50_w_Layer 2,15,1,[15],15
10156_MyriadPro-Semibold_fs_50_x_Layer 2,13,1,[13],13
10157_MyriadPro-Semibold_fs_50_y_Layer 2,11,1,[11],11
10158_MyriadPro-Semibold_fs_50_z_Layer 2,10,1,[10],10
1015_AJensonPro-BoldItCapt_fs_50_W_Layer 2,26,1,[26],26
10159_MyriadPro-Semibold_fs_50_0_Layer 2,16,2,"[8, 8]",8
10160_MyriadPro-Semibold_fs_50_1_Layer 2,7,1,[7],7
1015_Arial Narrow Bold_fs_50_W_Layer 2,17,1,[17],17
10161_MyriadPro-Semibold_fs_50_2_Layer 2,16,1,[16],16
10162_MyriadPro-Semibold_fs_50_3_Layer 2,19,1,[19],19
10165_MyriadPro-Semibold_fs_50_6_Layer 2,14,2,"[9, 5]",9
10164_MyriadPro-Semibold_fs_50_5_Layer 2,15,1,[15],15
10163_MyriadPro-Semibold_fs_50_4_Layer 2,15,2,"[11, 4]",11
10166_MyriadPro-Semibold_fs_50_7_Layer 2,8,1,[8],8
10167_MyriadPro-Semibold_fs_50_8_Layer 2,19,3,"[9, 5, 5]",9
10169_MyriadPro-SemiboldCond_fs_50_A_Layer 2,14,2,"[9, 5]",9
10168_MyriadPro-Semibold_fs_50_9_Layer 2,15,2,"[10, 5]",10
1016_AJensonPro-BoldItCapt_fs_50_X_Layer 2,19,1,[19],19
10171_MyriadPro-SemiboldCond_fs_50_C_Layer 2,10,1,[10],10
1016_Arial Narrow Bold_fs_50_X_Layer 2,13,1,[13],13
10170_MyriadPro-SemiboldCond_fs_50_B_Layer 2,17,3,"[9, 4, 4]",9
10174_MyriadPro-SemiboldCond_fs_50_F_Layer 2,11,1,[11],11
10172_MyriadPro-SemiboldCond_fs_50_D_Layer 2,10,2,"[5, 5]",5
10175_MyriadPro-SemiboldCond_fs_50_G_Layer 2,12,1,[12],12
10173_MyriadPro-SemiboldCond_fs_50_E_Layer 2,13,1,[13],13
10176_MyriadPro-SemiboldCond_fs_50_H_Layer 2,13,1,[13],13
10177_MyriadPro-SemiboldCond_fs_50_I_Layer 2,5,1,[5],5
10178_MyriadPro-SemiboldCond_fs_50_J_Layer 2,7,1,[7],7
10179_MyriadPro-SemiboldCond_fs_50_K_Layer 2,14,1,[14],14
1017_AJensonPro-BoldItCapt_fs_50_Y_Layer 2,14,1,[14],14
1017_Arial Narrow Bold_fs_50_Y_Layer 2,12,1,[12],12
10180_MyriadPro-SemiboldCond_fs_50_L_Layer 2,7,1,[7],7
10181_MyriadPro-SemiboldCond_fs_50_M_Layer 2,16,1,[16],16
10182_MyriadPro-SemiboldCond_fs_50_N_Layer 2,12,1,[12],12
10183_MyriadPro-SemiboldCond_fs_50_O_Layer 2,16,2,"[8, 8]",8
10184_MyriadPro-SemiboldCond_fs_50_P_Layer 2,11,2,"[7, 4]",7
10186_MyriadPro-SemiboldCond_fs_50_R_Layer 2,14,2,"[10, 4]",10
10185_MyriadPro-SemiboldCond_fs_50_Q_Layer 2,17,2,"[9, 8]",9
10188_MyriadPro-SemiboldCond_fs_50_T_Layer 2,9,1,[9],9
10187_MyriadPro-SemiboldCond_fs_50_S_Layer 2,17,1,[17],17
10189_MyriadPro-SemiboldCond_fs_50_U_Layer 2,17,1,[17],17
1018_Arial Narrow Bold_fs_50_Z_Layer 2,13,1,[13],13
10190_MyriadPro-SemiboldCond_fs_50_V_Layer 2,9,1,[9],9
1018_AJensonPro-BoldItCapt_fs_50_Z_Layer 2,16,1,[16],16
10191_MyriadPro-SemiboldCond_fs_50_W_Layer 2,16,1,[16],16
10194_MyriadPro-SemiboldCond_fs_50_Z_Layer 2,11,1,[11],11
10193_MyriadPro-SemiboldCond_fs_50_Y_Layer 2,8,1,[8],8
10192_MyriadPro-SemiboldCond_fs_50_X_Layer 2,15,1,[15],15
10195_MyriadPro-SemiboldCond_fs_50_a_Layer 2,17,2,"[11, 6]",11
10196_MyriadPro-SemiboldCond_fs_50_b_Layer 2,16,2,"[8, 8]",8
10197_MyriadPro-SemiboldCond_fs_50_c_Layer 2,8,1,[8],8
10198_MyriadPro-SemiboldCond_fs_50_d_Layer 2,16,2,"[8, 8]",8
10199_MyriadPro-SemiboldCond_fs_50_e_Layer 2,13,2,"[9, 4]",9
1019_AJensonPro-BoldItCapt_fs_50_a_Layer 2,14,2,"[10, 4]",10
1019_Arial Narrow Bold_fs_50_a_Layer 2,17,2,"[13, 4]",13
101_AntiqueOli-Lig_fs_50_m_Layer 2,23,1,[23],23
10200_MyriadPro-SemiboldCond_fs_50_f_Layer 2,11,1,[11],11
101_ACaslonPro-BoldItalic_fs_50_m_Layer 2,30,3,"[10, 12, 8]",12
10201_MyriadPro-SemiboldCond_fs_50_g_Layer 2,18,2,"[10, 8]",10
10204_MyriadPro-SemiboldCond_fs_50_j_Layer 2,14,2,"[5, 9]",9
10202_MyriadPro-SemiboldCond_fs_50_h_Layer 2,15,1,[15],15
10203_MyriadPro-SemiboldCond_fs_50_i_Layer 2,10,2,"[5, 5]",5
10205_MyriadPro-SemiboldCond_fs_50_k_Layer 2,16,1,[16],16
10207_MyriadPro-SemiboldCond_fs_50_m_Layer 2,23,1,[23],23
10206_MyriadPro-SemiboldCond_fs_50_l_Layer 2,5,1,[5],5
10208_MyriadPro-SemiboldCond_fs_50_n_Layer 2,14,1,[14],14
10209_MyriadPro-SemiboldCond_fs_50_o_Layer 2,12,2,"[8, 4]",8
1020_AJensonPro-BoldItCapt_fs_50_b_Layer 2,16,2,"[11, 5]",11
1020_Arial Narrow Bold_fs_50_b_Layer 2,17,2,"[9, 8]",9
10210_MyriadPro-SemiboldCond_fs_50_p_Layer 2,17,2,"[8, 9]",9
10212_MyriadPro-SemiboldCond_fs_50_r_Layer 2,9,1,[9],9
10213_MyriadPro-SemiboldCond_fs_50_s_Layer 2,11,1,[11],11
10211_MyriadPro-SemiboldCond_fs_50_q_Layer 2,17,2,"[9, 8]",9
10214_MyriadPro-SemiboldCond_fs_50_t_Layer 2,14,1,[14],14
10217_MyriadPro-SemiboldCond_fs_50_w_Layer 2,16,1,[16],16
10215_MyriadPro-SemiboldCond_fs_50_u_Layer 2,12,1,[12],12
10216_MyriadPro-SemiboldCond_fs_50_v_Layer 2,8,1,[8],8
10218_MyriadPro-SemiboldCond_fs_50_x_Layer 2,15,1,[15],15
1021_AJensonPro-BoldItCapt_fs_50_c_Layer 2,10,1,[10],10
10220_MyriadPro-SemiboldCond_fs_50_z_Layer 2,9,1,[9],9
1021_Arial Narrow Bold_fs_50_c_Layer 2,13,1,[13],13
10219_MyriadPro-SemiboldCond_fs_50_y_Layer 2,12,1,[12],12
10221_MyriadPro-SemiboldCond_fs_50_0_Layer 2,18,2,"[10, 8]",10
10222_MyriadPro-SemiboldCond_fs_50_1_Layer 2,7,1,[7],7
10223_MyriadPro-SemiboldCond_fs_50_2_Layer 2,14,1,[14],14
10225_MyriadPro-SemiboldCond_fs_50_4_Layer 2,14,2,"[10, 4]",10
10224_MyriadPro-SemiboldCond_fs_50_3_Layer 2,13,1,[13],13
10226_MyriadPro-SemiboldCond_fs_50_5_Layer 2,11,1,[11],11
10227_MyriadPro-SemiboldCond_fs_50_6_Layer 2,16,2,"[9, 7]",9
10228_MyriadPro-SemiboldCond_fs_50_7_Layer 2,7,1,[7],7
1022_AJensonPro-BoldItCapt_fs_50_d_Layer 2,17,2,"[13, 4]",13
1022_Arial Narrow Bold_fs_50_d_Layer 2,16,2,"[8, 8]",8
10229_MyriadPro-SemiboldCond_fs_50_8_Layer 2,19,3,"[9, 5, 5]",9
10230_MyriadPro-SemiboldCond_fs_50_9_Layer 2,15,2,"[9, 6]",9
10231_MyriadPro-SemiboldCondIt_fs_50_A_Layer 2,14,2,"[9, 5]",9
10233_MyriadPro-SemiboldCondIt_fs_50_C_Layer 2,9,1,[9],9
10232_MyriadPro-SemiboldCondIt_fs_50_B_Layer 2,16,3,"[7, 4, 5]",7
10235_MyriadPro-SemiboldCondIt_fs_50_E_Layer 2,12,1,[12],12
10234_MyriadPro-SemiboldCondIt_fs_50_D_Layer 2,12,2,"[6, 6]",6
10236_MyriadPro-SemiboldCondIt_fs_50_F_Layer 2,10,1,[10],10
10237_MyriadPro-SemiboldCondIt_fs_50_G_Layer 2,14,1,[14],14
10239_MyriadPro-SemiboldCondIt_fs_50_I_Layer 2,5,1,[5],5
10238_MyriadPro-SemiboldCondIt_fs_50_H_Layer 2,13,1,[13],13
1023_AJensonPro-BoldItCapt_fs_50_e_Layer 2,12,2,"[8, 4]",8
1023_Arial Narrow Bold_fs_50_e_Layer 2,15,2,"[11, 4]",11
10240_MyriadPro-SemiboldCondIt_fs_50_J_Layer 2,8,1,[8],8
10241_MyriadPro-SemiboldCondIt_fs_50_K_Layer 2,14,1,[14],14
10242_MyriadPro-SemiboldCondIt_fs_50_L_Layer 2,7,1,[7],7
10245_MyriadPro-SemiboldCondIt_fs_50_O_Layer 2,20,2,"[10, 10]",10
10243_MyriadPro-SemiboldCondIt_fs_50_M_Layer 2,17,1,[17],17
10244_MyriadPro-SemiboldCondIt_fs_50_N_Layer 2,12,1,[12],12
10246_MyriadPro-SemiboldCondIt_fs_50_P_Layer 2,11,2,"[7, 4]",7
10248_MyriadPro-SemiboldCondIt_fs_50_R_Layer 2,15,2,"[11, 4]",11
10247_MyriadPro-SemiboldCondIt_fs_50_Q_Layer 2,22,2,"[12, 10]",12
10249_MyriadPro-SemiboldCondIt_fs_50_S_Layer 2,13,1,[13],13
1024_Arial Narrow Bold_fs_50_f_Layer 2,15,1,[15],15
1024_AJensonPro-BoldItCapt_fs_50_f_Layer 2,18,1,[18],18
10250_MyriadPro-SemiboldCondIt_fs_50_T_Layer 2,9,1,[9],9
10251_MyriadPro-SemiboldCondIt_fs_50_U_Layer 2,13,1,[13],13
10252_MyriadPro-SemiboldCondIt_fs_50_V_Layer 2,9,1,[9],9
10253_MyriadPro-SemiboldCondIt_fs_50_W_Layer 2,15,1,[15],15
10254_MyriadPro-SemiboldCondIt_fs_50_X_Layer 2,15,1,[15],15
10255_MyriadPro-SemiboldCondIt_fs_50_Y_Layer 2,8,1,[8],8
10256_MyriadPro-SemiboldCondIt_fs_50_Z_Layer 2,12,1,[12],12
10257_MyriadPro-SemiboldCondIt_fs_50_a_Layer 2,12,2,"[9, 3]",9
10259_MyriadPro-SemiboldCondIt_fs_50_c_Layer 2,8,1,[8],8
10258_MyriadPro-SemiboldCondIt_fs_50_b_Layer 2,14,2,"[10, 4]",10
1025_Arial Narrow Bold_fs_50_g_Layer 2,18,2,"[12, 6]",12
1025_AJensonPro-BoldItCapt_fs_50_g_Layer 2,22,3,"[12, 5, 5]",12
10260_MyriadPro-SemiboldCondIt_fs_50_d_Layer 2,16,2,"[10, 6]",10
10261_MyriadPro-SemiboldCondIt_fs_50_e_Layer 2,14,2,"[11, 3]",11
10262_MyriadPro-SemiboldCondIt_fs_50_f_Layer 2,11,1,[11],11
10263_MyriadPro-SemiboldCondIt_fs_50_g_Layer 2,13,2,"[9, 4]",9
10265_MyriadPro-SemiboldCondIt_fs_50_i_Layer 2,10,2,"[5, 5]",5
10266_MyriadPro-SemiboldCondIt_fs_50_j_Layer 2,12,2,"[5, 7]",7
10264_MyriadPro-SemiboldCondIt_fs_50_h_Layer 2,13,1,[13],13
10268_MyriadPro-SemiboldCondIt_fs_50_l_Layer 2,5,1,[5],5
10267_MyriadPro-SemiboldCondIt_fs_50_k_Layer 2,15,1,[15],15
1026_AJensonPro-BoldItCapt_fs_50_h_Layer 2,15,1,[15],15
10269_MyriadPro-SemiboldCondIt_fs_50_m_Layer 2,16,1,[16],16
10270_MyriadPro-SemiboldCondIt_fs_50_n_Layer 2,11,1,[11],11
1026_Arial Narrow Bold_fs_50_h_Layer 2,15,1,[15],15
10273_MyriadPro-SemiboldCondIt_fs_50_q_Layer 2,12,2,"[8, 4]",8
10272_MyriadPro-SemiboldCondIt_fs_50_p_Layer 2,12,2,"[9, 3]",9
10271_MyriadPro-SemiboldCondIt_fs_50_o_Layer 2,11,2,"[7, 4]",7
10274_MyriadPro-SemiboldCondIt_fs_50_r_Layer 2,8,1,[8],8
10276_MyriadPro-SemiboldCondIt_fs_50_t_Layer 2,13,1,[13],13
10275_MyriadPro-SemiboldCondIt_fs_50_s_Layer 2,14,1,[14],14
10277_MyriadPro-SemiboldCondIt_fs_50_u_Layer 2,11,1,[11],11
10278_MyriadPro-SemiboldCondIt_fs_50_v_Layer 2,9,1,[9],9
10279_MyriadPro-SemiboldCondIt_fs_50_w_Layer 2,15,1,[15],15
1027_AJensonPro-BoldItCapt_fs_50_i_Layer 2,13,2,"[5, 8]",8
10280_MyriadPro-SemiboldCondIt_fs_50_x_Layer 2,15,1,[15],15
1027_Arial Narrow Bold_fs_50_i_Layer 2,10,2,"[5, 5]",5
10281_MyriadPro-SemiboldCondIt_fs_50_y_Layer 2,12,1,[12],12
