,id,total_len,nb_groups,len_groups,max_len_group
52,10003_Layer 8,18,2,"[10, 8]",10
53,10004_Layer 4,8,1,[8],8
55,10004_Layer 6,6,1,[6],6
56,10004_Layer 5,8,1,[8],8
57,10004_Layer 7,8,1,[8],8
58,10005_Layer 2,8,1,[8],8
59,10004_Layer 8,19,2,"[11, 8]",11
60,10004_Layer 2,16,2,"[10, 6]",10
61,10005_Layer 3,8,1,[8],8
62,10004_Layer 3,13,2,"[7, 6]",7
63,10006_Layer 11,20,1,[20],20
65,10006_Layer 12,22,1,[22],22
66,10006_Layer 13,18,1,[18],18
67,10006_Layer 14,20,1,[20],20
68,10005_Layer 4,19,2,"[13, 6]",13
69,10006_Layer 15,19,1,[19],19
70,10006_Layer 16,19,2,"[13, 6]",13
71,10006_Layer 2,6,1,[6],6
72,10006_Layer 18,22,2,"[14, 8]",14
73,10006_Layer 19,24,2,"[14, 10]",14
74,10006_Layer 17,21,2,"[11, 10]",11
75,10006_Layer 20,18,1,[18],18
76,10006_Layer 22,12,1,[12],12
77,10006_Layer 23,20,1,[20],20
78,10006_Layer 21,22,2,"[14, 8]",14
79,10006_Layer 25,16,1,[16],16
80,10006_Layer 24,21,2,"[14, 7]",14
81,10006_Layer 28,16,1,[16],16
82,10006_Layer 26,21,1,[21],21
83,10006_Layer 3,10,1,[10],10
84,10006_Layer 29,27,1,[27],27
85,10006_Layer 32,6,1,[6],6
86,10006_Layer 33,8,1,[8],8
87,10006_Layer 27,20,2,"[11, 9]",11
88,10006_Layer 34,6,1,[6],6
89,10006_Layer 35,8,1,[8],8
90,10006_Layer 36,8,1,[8],8
91,10006_Layer 38,14,1,[14],14
92,10006_Layer 37,16,1,[16],16
93,10006_Layer 4,14,1,[14],14
94,10006_Layer 40,8,1,[8],8
95,10006_Layer 39,13,1,[13],13
96,10006_Layer 41,10,1,[10],10
97,10006_Layer 42,10,1,[10],10
98,10006_Layer 43,10,1,[10],10
99,10006_Layer 44,10,1,[10],10
101,10006_Layer 45,22,1,[22],22
102,10006_Layer 47,24,1,[24],24
104,10006_Layer 5,14,1,[14],14
105,10006_Layer 49,9,1,[9],9
106,10006_Layer 46,21,2,"[11, 10]",11
107,10006_Layer 48,17,1,[17],17
108,10006_Layer 51,21,1,[21],21
109,10006_Layer 6,14,1,[14],14
110,10006_Layer 50,24,1,[24],24
111,10006_Layer 7,12,1,[12],12
112,10006_Layer 8,6,1,[6],6
113,10006_Layer 9,18,1,[18],18
114,10007_Layer 2,6,1,[6],6
115,10007_Layer 3,12,1,[12],12
116,10007_Layer 4,12,1,[12],12
117,10007_Layer 5,17,1,[17],17
118,10007_Layer 6,12,1,[12],12
119,10006_Layer 52,22,2,"[15, 7]",15
120,10008_Layer 10,14,1,[14],14
121,10008_Layer 11,16,1,[16],16
122,10008_Layer 12,20,2,"[14, 6]",14
123,10008_Layer 13,14,1,[14],14
124,10008_Layer 14,24,1,[24],24
125,10008_Layer 15,18,2,"[10, 8]",10
126,10007_Layer 7,20,1,[20],20
127,10008_Layer 16,24,1,[24],24
128,10008_Layer 18,10,1,[10],10
130,10008_Layer 2,8,1,[8],8
131,10008_Layer 3,10,1,[10],10
132,10008_Layer 4,8,1,[8],8
133,10008_Layer 5,14,1,[14],14
134,10008_Layer 6,10,1,[10],10
135,10008_Layer 7,12,1,[12],12
136,10008_Layer 8,14,1,[14],14
137,10009_Layer 10,14,1,[14],14
138,10008_Layer 9,12,1,[12],12
139,10009_Layer 11,16,1,[16],16
140,10009_Layer 2,10,1,[10],10
141,10009_Layer 3,14,1,[14],14
142,10009_Layer 4,20,1,[20],20
143,10009_Layer 5,18,1,[18],18
144,10009_Layer 6,22,2,"[14, 8]",14
145,10009_Layer 9,8,1,[8],8
146,1000_Layer 2,10,1,[10],10
147,10009_Layer 7,20,2,"[12, 8]",12
148,1000_Layer 3,6,1,[6],6
149,10009_Layer 8,24,1,[24],24
151,1000_Layer 6,16,1,[16],16
152,1000_Layer 8,8,1,[8],8
153,1000_Layer 4,22,2,"[14, 8]",14
154,10010_Layer 2,6,1,[6],6
155,1000_Layer 9,10,1,[10],10
156,10010_Layer 3,14,1,[14],14
157,1000_Layer 7,20,1,[20],20
158,10010_Layer 5,8,1,[8],8
159,10010_Layer 4,12,1,[12],12
160,10010_Layer 6,16,1,[16],16
161,10011_Layer 10,8,1,[8],8
163,10011_Layer 11,6,1,[6],6
164,10011_Layer 14,6,1,[6],6
165,10011_Layer 12,8,1,[8],8
166,10010_Layer 7,18,2,"[10, 8]",10
167,10011_Layer 13,6,1,[6],6
168,10011_Layer 16,6,1,[6],6
169,10011_Layer 15,10,1,[10],10
170,10011_Layer 17,6,1,[6],6
171,10011_Layer 18,10,1,[10],10
172,10011_Layer 19,6,1,[6],6
173,10011_Layer 20,8,1,[8],8
174,10011_Layer 21,8,1,[8],8
175,10011_Layer 2,14,1,[14],14
176,10011_Layer 23,8,1,[8],8
177,10011_Layer 22,8,1,[8],8
178,10011_Layer 24,10,1,[10],10
179,10011_Layer 25,12,1,[12],12
180,10011_Layer 3,20,2,"[12, 8]",12
181,10011_Layer 6,8,1,[8],8
182,10011_Layer 4,10,2,"[6, 4]",6
183,10011_Layer 7,10,1,[10],10
184,10011_Layer 9,8,1,[8],8
185,10011_Layer 8,8,1,[8],8
187,10012_Layer 10,8,1,[8],8
188,10012_Layer 12,8,1,[8],8
189,10012_Layer 13,6,1,[6],6
190,10012_Layer 11,8,1,[8],8
191,10012_Layer 2,10,1,[10],10
192,10012_Layer 14,10,1,[10],10
193,10012_Layer 5,8,1,[8],8
194,10012_Layer 3,16,1,[16],16
195,10012_Layer 6,8,1,[8],8
196,10012_Layer 7,6,1,[6],6
197,10012_Layer 9,6,1,[6],6
198,10012_Layer 8,8,1,[8],8
199,10013_Layer 10,8,1,[8],8
200,10013_Layer 11,10,1,[10],10
201,10013_Layer 13,8,1,[8],8
202,10013_Layer 12,10,1,[10],10
203,10013_Layer 14,8,1,[8],8
204,10013_Layer 15,8,1,[8],8
205,10013_Layer 16,8,1,[8],8
206,10013_Layer 17,8,1,[8],8
207,10012_Layer 4,13,1,[13],13
208,10013_Layer 18,8,1,[8],8
209,10013_Layer 19,8,1,[8],8
210,10013_Layer 21,8,1,[8],8
211,10013_Layer 20,8,1,[8],8
212,10013_Layer 2,8,1,[8],8
213,10013_Layer 22,8,1,[8],8
214,10013_Layer 23,8,1,[8],8
215,10013_Layer 26,8,1,[8],8
216,10013_Layer 24,8,1,[8],8
217,10013_Layer 25,8,1,[8],8
218,10013_Layer 27,8,1,[8],8
219,10013_Layer 29,8,1,[8],8
220,10013_Layer 28,8,1,[8],8
221,10013_Layer 30,10,1,[10],10
222,10013_Layer 3,14,1,[14],14
223,10013_Layer 32,8,1,[8],8
224,10013_Layer 31,12,1,[12],12
225,10013_Layer 33,12,1,[12],12
226,10013_Layer 34,14,1,[14],14
227,10013_Layer 35,14,1,[14],14
228,10013_Layer 36,12,1,[12],12
229,10013_Layer 38,16,1,[16],16
230,10013_Layer 37,12,1,[12],12
231,10013_Layer 39,12,1,[12],12
232,10013_Layer 41,8,1,[8],8
233,10013_Layer 4,14,1,[14],14
234,10013_Layer 42,10,1,[10],10
235,10013_Layer 40,12,1,[12],12
236,10013_Layer 43,8,1,[8],8
237,10013_Layer 45,12,1,[12],12
238,10013_Layer 44,10,1,[10],10
239,10013_Layer 47,14,1,[14],14
240,10013_Layer 46,12,1,[12],12
241,10013_Layer 5,18,1,[18],18
242,10013_Layer 6,26,2,"[16, 10]",16
243,10013_Layer 7,23,1,[23],23
244,10013_Layer 48,14,1,[14],14
245,10013_Layer 8,19,1,[19],19
246,10014_Layer 2,8,1,[8],8
247,10014_Layer 3,8,1,[8],8
248,10014_Layer 4,10,1,[10],10
249,10013_Layer 9,16,1,[16],16
250,10014_Layer 5,12,1,[12],12
251,10014_Layer 8,12,1,[12],12
252,10015_Layer 10,16,1,[16],16
253,10014_Layer 7,18,3,"[8, 6, 4]",8
254,10014_Layer 6,20,3,"[8, 4, 8]",8
255,10015_Layer 11,8,2,"[4, 4]",4
256,10015_Layer 3,10,1,[10],10
257,10015_Layer 2,10,1,[10],10
258,10015_Layer 12,22,1,[22],22
259,10015_Layer 5,10,1,[10],10
260,10015_Layer 4,12,1,[12],12
261,10015_Layer 13,26,1,[26],26
262,10015_Layer 6,10,1,[10],10
263,10015_Layer 7,10,1,[10],10
264,10016_Layer 2,8,1,[8],8
265,10015_Layer 9,10,1,[10],10
266,10015_Layer 8,10,1,[10],10
267,10016_Layer 3,12,1,[12],12
268,10016_Layer 4,8,1,[8],8
269,10017_Layer 2,6,1,[6],6
270,10016_Layer 7,6,1,[6],6
271,10016_Layer 6,8,1,[8],8
272,10016_Layer 5,10,1,[10],10
273,10017_Layer 6,8,1,[8],8
274,10017_Layer 3,14,1,[14],14
275,10017_Layer 7,8,1,[8],8
276,10017_Layer 4,14,1,[14],14
277,10017_Layer 5,14,2,"[8, 6]",8
278,10017_Layer 8,8,1,[8],8
279,10018_Layer 4,10,1,[10],10
280,10019_Layer 10,8,1,[8],8
281,10018_Layer 2,12,1,[12],12
282,10018_Layer 3,18,2,"[10, 8]",10
283,10019_Layer 11,6,1,[6],6
284,10019_Layer 12,8,1,[8],8
285,10019_Layer 13,12,1,[12],12
286,10019_Layer 14,8,1,[8],8
287,10019_Layer 15,14,1,[14],14
288,10019_Layer 18,18,1,[18],18
289,10019_Layer 2,6,1,[6],6
290,10019_Layer 16,14,1,[14],14
291,10019_Layer 17,14,1,[14],14
292,10019_Layer 22,16,1,[16],16
293,10019_Layer 20,18,1,[18],18
294,10019_Layer 21,12,1,[12],12
295,10019_Layer 23,18,1,[18],18
296,10019_Layer 5,10,1,[10],10
297,10019_Layer 4,8,1,[8],8
298,10019_Layer 3,8,1,[8],8
299,10019_Layer 6,8,1,[8],8
300,10019_Layer 8,10,1,[10],10
301,10019_Layer 7,8,1,[8],8
302,10020_Layer 2,8,1,[8],8
303,10020_Layer 3,8,1,[8],8
304,10019_Layer 9,8,1,[8],8
305,10020_Layer 4,10,1,[10],10
306,10020_Layer 5,12,1,[12],12
307,10020_Layer 6,16,1,[16],16
308,10021_Layer 10,16,1,[16],16
309,10020_Layer 8,20,1,[20],20
310,10020_Layer 7,16,1,[16],16
311,10021_Layer 11,14,1,[14],14
312,10021_Layer 3,10,1,[10],10
313,10021_Layer 4,8,1,[8],8
314,10021_Layer 5,8,1,[8],8
315,10021_Layer 6,8,1,[8],8
316,10021_Layer 2,26,1,[26],26
317,10021_Layer 7,10,1,[10],10
318,10021_Layer 9,10,1,[10],10
319,10021_Layer 8,8,1,[8],8
320,10022_Layer 2,10,1,[10],10
321,10022_Layer 3,10,1,[10],10
322,10023_Layer 10,12,1,[12],12
323,10022_Layer 4,16,1,[16],16
324,10023_Layer 12,10,1,[10],10
325,10023_Layer 11,16,1,[16],16
326,10023_Layer 15,14,1,[14],14
327,10023_Layer 13,22,2,"[12, 10]",12
328,10023_Layer 14,20,2,"[12, 8]",12
329,10023_Layer 2,8,1,[8],8
330,10023_Layer 4,8,1,[8],8
331,10023_Layer 3,10,1,[10],10
332,10023_Layer 5,10,1,[10],10
333,10023_Layer 7,10,1,[10],10
334,10023_Layer 16,24,2,"[18, 6]",18
335,10023_Layer 6,14,1,[14],14
336,10023_Layer 8,16,1,[16],16
337,10024_Layer 2,10,1,[10],10
338,10023_Layer 9,16,1,[16],16
339,10024_Layer 3,14,1,[14],14
340,10024_Layer 4,20,2,"[14, 6]",14
341,10025_Layer 2,16,1,[16],16
342,10026_Layer 10,18,1,[18],18
343,10026_Layer 2,10,1,[10],10
344,10026_Layer 3,8,1,[8],8
345,10026_Layer 4,8,1,[8],8
347,10026_Layer 5,10,1,[10],10
348,10026_Layer 7,10,1,[10],10
349,10026_Layer 6,12,1,[12],12
350,10026_Layer 9,12,1,[12],12
351,10026_Layer 8,14,1,[14],14
352,10027_Layer 10,14,1,[14],14
353,10027_Layer 2,6,1,[6],6
354,10027_Layer 11,18,1,[18],18
355,10027_Layer 3,10,1,[10],10
356,10027_Layer 4,16,1,[16],16
357,10027_Layer 6,14,1,[14],14
358,10027_Layer 7,10,1,[10],10
359,10027_Layer 5,16,1,[16],16
360,10028_Layer 2,10,1,[10],10
361,10027_Layer 8,16,1,[16],16
362,10028_Layer 3,10,1,[10],10
363,10027_Layer 9,18,1,[18],18
364,10028_Layer 4,14,2,"[8, 6]",8
365,10028_Layer 5,14,1,[14],14
366,10028_Layer 6,12,1,[12],12
367,10028_Layer 7,12,1,[12],12
368,10029_Layer 11,10,1,[10],10
369,10029_Layer 10,12,1,[12],12
370,10029_Layer 13,10,1,[10],10
371,10029_Layer 12,14,1,[14],14
372,10029_Layer 14,10,1,[10],10
373,10029_Layer 15,16,2,"[10, 6]",10
374,10029_Layer 2,10,1,[10],10
375,10029_Layer 3,8,1,[8],8
376,10029_Layer 4,6,1,[6],6
377,10029_Layer 5,8,1,[8],8
378,10029_Layer 6,10,1,[10],10
379,10029_Layer 16,16,1,[16],16
380,10029_Layer 7,8,1,[8],8
381,10029_Layer 8,8,1,[8],8
382,1002_Layer 2,10,1,[10],10
383,1002_Layer 3,10,1,[10],10
384,10029_Layer 9,14,1,[14],14
385,1002_Layer 4,12,1,[12],12
386,1002_Layer 7,10,1,[10],10
387,1002_Layer 6,10,1,[10],10
388,1002_Layer 5,10,1,[10],10
389,10030_Layer 2,6,1,[6],6
390,10030_Layer 3,10,1,[10],10
391,10030_Layer 4,10,1,[10],10
392,10030_Layer 5,14,1,[14],14
393,10030_Layer 6,14,2,"[8, 6]",8
394,10030_Layer 7,14,1,[14],14
395,10031_Layer 10,8,1,[8],8
396,10030_Layer 8,16,2,"[10, 6]",10
397,10031_Layer 12,10,1,[10],10
398,10031_Layer 11,10,1,[10],10
399,10031_Layer 14,6,1,[6],6
400,10031_Layer 2,8,1,[8],8
401,10031_Layer 13,8,1,[8],8
402,10031_Layer 3,12,1,[12],12
403,10031_Layer 5,12,1,[12],12
404,10031_Layer 4,12,1,[12],12
405,10031_Layer 6,4,1,[4],4
406,10031_Layer 7,4,1,[4],4
407,10031_Layer 8,8,1,[8],8
408,10032_Layer 4,6,1,[6],6
409,10032_Layer 3,12,1,[12],12
410,10031_Layer 9,10,1,[10],10
411,10032_Layer 2,6,1,[6],6
412,10032_Layer 5,10,1,[10],10
413,10032_Layer 6,8,1,[8],8
414,10033_Layer 11,12,1,[12],12
415,10033_Layer 10,16,1,[16],16
416,10033_Layer 12,12,1,[12],12
417,10033_Layer 13,8,1,[8],8
418,10033_Layer 2,8,1,[8],8
419,10033_Layer 6,6,1,[6],6
420,10033_Layer 3,8,1,[8],8
421,10033_Layer 5,14,1,[14],14
422,10033_Layer 7,4,1,[4],4
423,10033_Layer 4,12,1,[12],12
424,10033_Layer 8,10,1,[10],10
425,10033_Layer 9,10,1,[10],10
426,10034_Layer 10,12,1,[12],12
427,10034_Layer 2,6,1,[6],6
428,10034_Layer 3,10,1,[10],10
429,10034_Layer 12,16,1,[16],16
430,10034_Layer 11,22,1,[22],22
431,10034_Layer 4,8,1,[8],8
432,10034_Layer 5,6,1,[6],6
433,10034_Layer 9,6,1,[6],6
434,10034_Layer 6,14,1,[14],14
435,10034_Layer 7,8,1,[8],8
436,10034_Layer 8,12,1,[12],12
437,10035_Layer 3,10,1,[10],10
438,10035_Layer 2,6,1,[6],6
439,10035_Layer 5,16,1,[16],16
440,10035_Layer 7,8,1,[8],8
441,10035_Layer 4,16,1,[16],16
442,10036_Layer 2,8,1,[8],8
443,10036_Layer 3,8,1,[8],8
444,10036_Layer 4,12,1,[12],12
445,10035_Layer 6,22,1,[22],22
446,10036_Layer 6,10,1,[10],10
447,10036_Layer 7,8,1,[8],8
448,10036_Layer 5,16,1,[16],16
449,10037_Layer 2,6,1,[6],6
450,10036_Layer 8,12,1,[12],12
451,10037_Layer 4,6,1,[6],6
452,10037_Layer 5,12,1,[12],12
453,10037_Layer 3,22,1,[22],22
454,10037_Layer 6,10,1,[10],10
455,10037_Layer 7,10,1,[10],10
456,10038_Layer 2,10,1,[10],10
457,10038_Layer 3,8,1,[8],8
458,10038_Layer 4,18,1,[18],18
459,10038_Layer 5,16,1,[16],16
460,10038_Layer 6,12,1,[12],12
461,10038_Layer 7,20,1,[20],20
462,10039_Layer 2,16,1,[16],16
463,10039_Layer 3,16,1,[16],16
464,1003_Layer 11,8,1,[8],8
465,10039_Layer 4,16,1,[16],16
466,1003_Layer 10,20,1,[20],20
467,10039_Layer 5,22,2,"[12, 10]",12
468,1003_Layer 12,10,1,[10],10
469,1003_Layer 2,8,1,[8],8
470,1003_Layer 3,12,2,"[6, 6]",6
471,1003_Layer 4,26,1,[26],26
472,1003_Layer 7,14,1,[14],14
473,1003_Layer 5,14,1,[14],14
474,1003_Layer 6,8,1,[8],8
475,10040_Layer 2,8,1,[8],8
476,10040_Layer 3,8,1,[8],8
477,1003_Layer 9,14,1,[14],14
478,10040_Layer 5,10,1,[10],10
479,10040_Layer 4,8,1,[8],8
480,1003_Layer 8,24,1,[24],24
481,10040_Layer 6,12,1,[12],12
482,10040_Layer 7,14,1,[14],14
483,10040_Layer 9,10,1,[10],10
484,10040_Layer 8,16,1,[16],16
485,10041_Layer 3,10,1,[10],10
486,10041_Layer 4,8,1,[8],8
487,10041_Layer 2,12,1,[12],12
488,10041_Layer 6,6,1,[6],6
489,10041_Layer 5,14,1,[14],14
490,10042_Layer 2,12,1,[12],12
491,10042_Layer 3,8,1,[8],8
492,10041_Layer 7,16,1,[16],16
493,10042_Layer 4,10,1,[10],10
494,10042_Layer 5,10,1,[10],10
495,10043_Layer 2,6,1,[6],6
496,10042_Layer 6,16,1,[16],16
497,10043_Layer 3,6,1,[6],6
498,10042_Layer 7,16,1,[16],16
499,10042_Layer 8,14,1,[14],14
500,10043_Layer 4,8,1,[8],8
501,10043_Layer 6,8,1,[8],8
502,10043_Layer 5,18,1,[18],18
503,10044_Layer 12,6,1,[6],6
504,10044_Layer 11,12,1,[12],12
505,10044_Layer 10,12,1,[12],12
506,10044_Layer 13,6,1,[6],6
507,10044_Layer 15,10,1,[10],10
508,10044_Layer 14,14,1,[14],14
509,10044_Layer 17,10,1,[10],10
510,10044_Layer 16,10,1,[10],10
511,10044_Layer 2,14,1,[14],14
512,10044_Layer 3,6,1,[6],6
513,10044_Layer 5,14,1,[14],14
514,10044_Layer 7,8,1,[8],8
515,10044_Layer 6,8,1,[8],8
516,10044_Layer 4,14,1,[14],14
517,10044_Layer 8,8,1,[8],8
518,10045_Layer 2,6,1,[6],6
519,10045_Layer 4,10,1,[10],10
520,10045_Layer 3,12,1,[12],12
521,10044_Layer 9,14,1,[14],14
522,10045_Layer 5,14,1,[14],14
523,10046_Layer 2,6,1,[6],6
524,10045_Layer 6,10,1,[10],10
525,10046_Layer 10,14,1,[14],14
526,10046_Layer 3,12,1,[12],12
527,10046_Layer 6,8,1,[8],8
528,10046_Layer 4,24,1,[24],24
529,10046_Layer 5,14,1,[14],14
530,10046_Layer 8,14,1,[14],14
531,10046_Layer 7,18,1,[18],18
532,10047_Layer 10,16,1,[16],16
533,10046_Layer 9,16,1,[16],16
534,10047_Layer 2,8,1,[8],8
535,10047_Layer 11,12,1,[12],12
536,10047_Layer 3,10,1,[10],10
537,10047_Layer 5,14,1,[14],14
538,10047_Layer 4,12,1,[12],12
539,10047_Layer 6,12,1,[12],12
540,10047_Layer 7,10,1,[10],10
541,10048_Layer 2,10,1,[10],10
542,10047_Layer 8,8,1,[8],8
543,10048_Layer 3,6,1,[6],6
544,10047_Layer 9,14,1,[14],14
545,10048_Layer 4,8,1,[8],8
546,10048_Layer 5,12,1,[12],12
547,10048_Layer 6,6,1,[6],6
548,10048_Layer 7,10,1,[10],10
549,10049_Layer 2,6,1,[6],6
550,10049_Layer 3,8,1,[8],8
551,10049_Layer 4,10,1,[10],10
552,10048_Layer 8,18,1,[18],18
553,10049_Layer 5,12,1,[12],12
554,10049_Layer 6,10,1,[10],10
555,1004_Layer 3,12,1,[12],12
556,1004_Layer 2,10,1,[10],10
557,1004_Layer 5,12,2,"[6, 6]",6
558,1004_Layer 4,22,1,[22],22
559,1004_Layer 7,14,1,[14],14
560,1004_Layer 6,18,1,[18],18
561,10050_Layer 10,16,1,[16],16
562,10050_Layer 13,10,1,[10],10
563,10050_Layer 11,14,1,[14],14
564,10050_Layer 14,10,1,[10],10
565,10050_Layer 15,10,1,[10],10
566,10050_Layer 16,16,1,[16],16
568,10050_Layer 2,8,1,[8],8
569,10050_Layer 17,16,2,"[8, 8]",8
570,10050_Layer 3,10,1,[10],10
571,10050_Layer 18,18,1,[18],18
572,10050_Layer 5,12,1,[12],12
573,10050_Layer 7,10,1,[10],10
574,10050_Layer 4,16,1,[16],16
575,10050_Layer 6,8,1,[8],8
576,10050_Layer 9,14,1,[14],14
577,10051_Layer 11,6,1,[6],6
578,10050_Layer 8,14,1,[14],14
579,10051_Layer 10,18,1,[18],18
580,10051_Layer 2,8,1,[8],8
581,10051_Layer 3,6,1,[6],6
582,10051_Layer 4,6,1,[6],6
583,10051_Layer 12,14,1,[14],14
584,10051_Layer 13,12,1,[12],12
585,10051_Layer 6,12,1,[12],12
586,10051_Layer 5,12,1,[12],12
587,10051_Layer 7,16,1,[16],16
588,10052_Layer 2,6,1,[6],6
589,10051_Layer 8,16,1,[16],16
590,10051_Layer 9,16,1,[16],16
591,10052_Layer 3,10,1,[10],10
592,10052_Layer 4,10,1,[10],10
593,10052_Layer 5,16,1,[16],16
594,10053_Layer 10,16,1,[16],16
595,10052_Layer 6,10,1,[10],10
596,10053_Layer 11,16,1,[16],16
597,10053_Layer 14,8,1,[8],8
598,10053_Layer 12,20,2,"[14, 6]",14
599,10053_Layer 2,8,1,[8],8
600,10053_Layer 3,6,1,[6],6
601,10053_Layer 15,16,1,[16],16
602,10053_Layer 13,18,1,[18],18
603,10053_Layer 4,6,1,[6],6
604,10053_Layer 7,12,1,[12],12
605,10053_Layer 5,12,1,[12],12
606,10053_Layer 6,8,1,[8],8
607,10053_Layer 8,6,1,[6],6
608,10054_Layer 2,8,1,[8],8
609,10053_Layer 9,16,1,[16],16
610,10054_Layer 3,14,1,[14],14
611,10054_Layer 4,16,1,[16],16
612,10054_Layer 6,6,1,[6],6
613,10054_Layer 5,12,1,[12],12
614,10054_Layer 7,10,1,[10],10
615,10055_Layer 10,8,1,[8],8
616,10054_Layer 8,20,1,[20],20
617,10055_Layer 11,6,1,[6],6
618,10054_Layer 9,16,1,[16],16
619,10055_Layer 12,6,1,[6],6
620,10055_Layer 15,16,1,[16],16
621,10055_Layer 13,8,1,[8],8
622,10055_Layer 14,14,1,[14],14
623,10055_Layer 16,14,1,[14],14
624,10055_Layer 2,6,1,[6],6
625,10055_Layer 4,6,1,[6],6
626,10055_Layer 17,8,1,[8],8
627,10055_Layer 3,6,1,[6],6
628,10055_Layer 5,6,1,[6],6
629,10055_Layer 18,14,1,[14],14
630,10055_Layer 7,6,1,[6],6
631,10055_Layer 6,8,1,[8],8
632,10055_Layer 8,6,1,[6],6
633,10055_Layer 9,8,1,[8],8
634,10056_Layer 3,12,1,[12],12
635,10056_Layer 2,10,1,[10],10
636,10056_Layer 4,10,1,[10],10
637,10056_Layer 5,18,1,[18],18
638,10056_Layer 6,16,1,[16],16
639,10056_Layer 7,18,1,[18],18
640,10056_Layer 8,10,1,[10],10
641,10057_Layer 10,16,1,[16],16
642,10057_Layer 11,10,1,[10],10
643,10057_Layer 12,16,1,[16],16
644,10057_Layer 3,6,1,[6],6
645,10057_Layer 13,10,2,"[6, 4]",6
646,10057_Layer 4,10,1,[10],10
647,10057_Layer 2,20,1,[20],20
648,10057_Layer 6,10,1,[10],10
649,10057_Layer 5,10,1,[10],10
650,10057_Layer 8,12,1,[12],12
651,10057_Layer 9,8,1,[8],8
652,10057_Layer 7,12,1,[12],12
653,10058_Layer 10,12,1,[12],12
654,10058_Layer 11,8,1,[8],8
655,10058_Layer 13,8,1,[8],8
656,10058_Layer 12,14,1,[14],14
657,10058_Layer 14,12,1,[12],12
658,10058_Layer 16,8,1,[8],8
659,10058_Layer 15,14,1,[14],14
660,10058_Layer 2,6,1,[6],6
661,10058_Layer 18,14,1,[14],14
662,10058_Layer 17,14,1,[14],14
663,10058_Layer 19,12,1,[12],12
664,10058_Layer 23,6,1,[6],6
665,10058_Layer 21,16,1,[16],16
666,10058_Layer 20,14,1,[14],14
667,10058_Layer 22,8,2,"[4, 4]",4
668,10058_Layer 24,14,1,[14],14
669,10058_Layer 3,10,1,[10],10
670,10058_Layer 25,16,2,"[10, 6]",10
671,10058_Layer 26,18,2,"[12, 6]",12
672,10058_Layer 4,6,1,[6],6
673,10058_Layer 5,8,1,[8],8
674,10058_Layer 6,8,1,[8],8
675,10058_Layer 7,8,1,[8],8
676,10058_Layer 9,8,1,[8],8
677,10058_Layer 8,10,1,[10],10
678,10059_Layer 2,10,1,[10],10
679,1005_Layer 2,6,1,[6],6
680,10059_Layer 3,14,1,[14],14
681,10059_Layer 4,18,2,"[12, 6]",12
682,1005_Layer 4,8,1,[8],8
683,1005_Layer 3,22,1,[22],22
684,10060_Layer 2,8,1,[8],8
685,1005_Layer 5,20,1,[20],20
686,1005_Layer 6,16,1,[16],16
687,10060_Layer 3,8,1,[8],8
688,1005_Layer 7,20,1,[20],20
689,10060_Layer 4,12,1,[12],12
690,10061_Layer 2,10,1,[10],10
691,10060_Layer 5,18,1,[18],18
692,10061_Layer 3,10,1,[10],10
693,10061_Layer 4,10,1,[10],10
694,10061_Layer 5,10,1,[10],10
